"","plant","DOC","OM","TN","AN","NO3","NH4","TP","AP","TK","AK","TS","AS","TFe","AFe","pH","CEC","Clay","Silt","Sand","tem"
"OTU_2",1,0,0,1,0,-1,1,0,0,-1,-1,0,1,0,1,-1,-1,0,0,0,1
"OTU_43392",-1,-1,0,0,0,1,-1,1,0,0,0,-1,-1,0,-1,-1,-1,1,0,0,1
"OTU_3",0,0,0,0,1,1,0,0,0,0,0,-1,0,0,1,-1,-1,0,1,-1,-1
"OTU_31104",-1,-1,-1,-1,0,1,-1,1,1,-1,0,-1,-1,0,-1,-1,-1,1,0,0,1
"OTU_42322",-1,-1,-1,-1,-1,1,-1,1,0,0,1,-1,-1,0,-1,1,0,0,0,1,-1
"OTU_6",-1,1,0,0,0,0,-1,1,1,0,1,-1,-1,-1,0,0,1,0,0,0,-1
"OTU_7",-1,0,0,0,0,1,-1,0,0,0,0,-1,-1,0,0,0,1,0,1,-1,-1
"OTU_8",-1,-1,0,-1,0,1,-1,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,-1
"OTU_1",-1,-1,-1,-1,0,1,-1,1,0,0,0,-1,-1,0,-1,-1,-1,1,0,0,1
"OTU_401",-1,1,0,0,0,0,-1,0,0,1,1,-1,-1,-1,0,0,1,0,-1,1,-1
"OTU_9",-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,1
"OTU_11",-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,0,-1,1,1,0,0,0,-1
"OTU_20",-1,0,0,0,0,1,0,1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,1
"OTU_167",-1,0,0,0,0,1,-1,1,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,-1
"OTU_13",1,0,0,0,0,-1,1,-1,0,0,-1,1,1,0,1,0,0,0,0,0,1
"OTU_21",-1,-1,0,0,0,1,-1,0,0,0,1,0,-1,0,-1,1,1,0,0,0,-1
"OTU_18",-1,-1,-1,-1,-1,1,-1,0,0,0,1,0,-1,0,-1,1,1,0,0,0,-1
"OTU_12",1,1,1,1,1,-1,1,-1,0,0,0,1,1,0,1,0,0,0,1,-1,0
"OTU_4",-1,-1,-1,-1,-1,1,-1,1,0,0,1,-1,-1,0,-1,1,0,0,-1,1,-1
"OTU_14",0,-1,0,0,0,0,-1,1,0,0,1,0,-1,0,0,0,0,0,0,0,0
"OTU_15",-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0
"OTU_10",-1,0,0,0,0,1,-1,0,0,-1,0,-1,-1,0,0,0,1,0,1,-1,-1
"OTU_16",-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
"OTU_30",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_22",0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,1
