#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_10	369	364	693	760	1024	662	202	178	282	282	405	279	342	593	248	262	524	281
OTU_100	80	19	38	59	295	25	29	55	16	114	72	40	33	7	51	61	39	71
OTU_1000	4	6	5	3	15	5	2	6	5	2	1	7	1	0	0	1	8	8
OTU_1001	7	2	1	2	13	11	5	2	5	0	2	2	0	3	3	0	1	7
OTU_1002	4	9	12	5	2	14	6	21	2	3	3	5	2	0	4	3	2	5
OTU_1003	10	4	5	8	0	3	3	4	6	0	3	1	12	1	3	0	2	5
OTU_1004	6	5	3	3	3	5	3	1	6	2	1	7	6	0	1	3	7	2
OTU_1005	3	1	0	1	0	1	6	4	5	5	2	4	5	8	7	5	4	5
OTU_1006	3	1	6	0	0	1	1	21	4	5	1	3	2	7	9	2	0	16
OTU_1007	1	4	14	5	0	7	0	0	9	2	0	0	5	6	0	4	13	5
OTU_1008	9	2	5	15	11	5	1	2	2	1	0	0	1	0	2	1	4	2
OTU_1009	2	8	2	0	1	4	5	8	6	3	6	6	4	0	6	3	4	1
OTU_101	82	98	12	28	32	57	103	55	62	47	74	108	60	37	72	40	55	71
OTU_1010	4	2	1	3	2	1	4	12	6	6	3	2	3	7	2	1	8	6
OTU_1011	4	8	2	4	21	7	5	1	3	3	2	1	3	5	2	3	4	2
OTU_1012	4	1	10	4	0	3	5	2	2	3	4	2	2	3	7	2	4	5
OTU_1013	2	2	13	5	1	3	0	4	7	6	2	7	0	1	1	5	1	7
OTU_1014	4	4	0	2	2	0	7	11	10	4	3	3	12	16	8	5	4	5
OTU_1015	0	4	8	7	9	5	2	3	4	2	2	4	6	10	3	5	5	5
OTU_1016	2	2	12	3	2	8	7	4	4	10	12	9	4	13	9	3	2	8
OTU_1017	0	3	16	8	10	3	0	0	0	0	1	1	1	9	2	1	5	1
OTU_1018	0	5	0	0	0	0	0	1	5	1	4	3	4	0	1	43	0	1
OTU_1019	6	3	2	0	0	1	3	1	2	3	3	15	17	0	11	1	0	2
OTU_102	43	72	49	69	128	52	67	51	49	46	58	56	58	53	92	88	54	67
OTU_1020	3	10	4	0	3	7	0	9	6	2	4	3	4	2	0	3	5	1
OTU_1021	4	2	3	9	2	3	3	3	2	5	6	9	3	2	7	5	4	3
OTU_1022	4	2	4	6	1	5	7	0	4	1	1	6	4	5	3	4	5	6
OTU_1023	4	7	3	0	3	2	2	1	1	0	3	9	5	3	6	7	6	3
OTU_1024	2	0	0	0	0	0	9	7	5	23	14	0	1	1	2	0	0	5
OTU_1026	6	9	7	3	2	3	3	11	5	5	10	4	6	2	1	10	2	1
OTU_1027	15	11	1	22	9	24	9	0	17	7	22	7	8	5	17	23	3	4
OTU_1028	4	5	3	2	5	6	2	5	4	3	4	4	2	5	3	5	6	3
OTU_1029	2	1	2	9	2	3	5	3	1	3	12	3	2	4	6	2	2	3
OTU_103	51	58	13	86	64	150	24	31	43	36	53	40	75	52	53	48	56	35
OTU_1030	11	18	2	2	1	2	2	8	9	6	4	8	15	1	15	9	19	2
OTU_1031	2	0	7	6	4	1	1	3	3	9	2	4	2	8	7	4	1	5
OTU_1032	7	8	3	7	2	4	5	4	2	4	3	4	4	6	9	0	8	9
OTU_1033	11	6	1	1	2	4	3	6	3	4	7	7	7	3	1	2	5	6
OTU_1034	8	8	9	5	1	4	4	3	17	2	8	14	17	4	17	7	10	7
OTU_1035	1	8	2	3	1	4	3	6	3	6	5	0	5	2	4	4	2	6
OTU_1036	1	5	6	5	0	2	4	9	4	6	6	7	5	6	1	1	4	4
OTU_1037	1	4	6	7	3	8	4	1	4	4	4	6	5	4	4	4	4	1
OTU_1038	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0
OTU_104	63	74	83	76	112	73	26	30	48	49	53	70	54	67	55	47	74	34
OTU_1040	11	34	9	23	2	14	35	28	32	16	15	34	9	22	26	25	4	23
OTU_1042	1	3	1	0	0	0	2	3	2	5	8	11	4	3	2	5	3	3
OTU_1044	5	6	5	6	8	4	2	1	6	1	3	0	4	7	7	4	4	8
OTU_1045	1	2	0	1	3	2	3	10	0	1	21	3	0	3	2	14	0	2
OTU_1046	6	5	9	4	13	6	4	5	2	6	3	4	3	3	8	5	2	1
OTU_1047	2	3	4	9	1	2	6	5	5	5	3	7	6	2	16	2	1	3
OTU_1048	4	7	2	4	2	0	3	8	3	4	2	11	3	3	5	4	6	14
OTU_1049	2	5	0	2	3	4	4	4	6	3	7	4	3	4	3	1	4	2
OTU_105	38	18	42	62	320	57	7	127	1	41	29	21	4	10	30	25	51	95
OTU_1050	2	5	6	4	6	3	2	6	4	3	2	4	1	3	8	4	0	2
OTU_1051	4	6	3	4	3	7	8	5	3	4	7	8	5	5	8	8	5	0
OTU_1052	6	6	1	7	4	4	4	2	1	1	12	8	9	3	2	8	4	6
OTU_1053	7	3	1	3	3	6	6	3	2	4	5	3	4	5	7	3	3	11
OTU_1055	6	5	0	8	3	3	15	7	6	9	4	8	10	8	5	3	13	7
OTU_1056	9	8	1	2	1	3	9	11	5	2	7	4	2	2	8	2	3	4
OTU_1057	6	4	4	8	4	4	2	8	4	3	9	7	11	4	4	4	9	6
OTU_1058	7	2	0	3	1	2	1	1	2	3	0	5	2	5	12	10	0	5
OTU_1059	6	1	2	2	1	3	11	2	3	2	0	8	6	4	3	4	1	5
OTU_106	52	32	32	33	19	17	22	48	255	148	41	53	83	34	56	79	23	36
OTU_1060	4	13	17	9	10	8	1	17	1	5	11	18	1	0	3	12	6	12
OTU_1062	3	0	0	1	2	1	1	4	1	1	0	0	47	0	1	6	1	0
OTU_1063	3	2	1	1	1	2	4	3	2	6	1	5	4	1	5	2	3	4
OTU_1064	4	0	0	0	0	2	1	1	13	7	0	16	1	0	0	1	1	17
OTU_1065	1	4	0	5	0	38	1	0	2	2	1	0	1	1	2	4	3	0
OTU_1066	3	4	3	11	3	7	3	4	3	2	4	2	3	3	2	4	3	5
OTU_1067	3	0	5	8	5	9	1	4	0	3	4	1	1	3	3	3	4	8
OTU_1069	4	7	2	13	0	3	3	11	8	5	3	2	16	2	10	6	3	7
OTU_1070	5	3	6	13	4	2	5	3	2	3	6	2	7	1	0	4	4	0
OTU_1071	6	0	2	4	1	4	3	3	5	7	2	6	9	4	2	3	3	5
OTU_1072	24	7	13	22	16	18	5	8	16	12	20	11	13	13	13	17	7	10
OTU_1073	7	8	3	3	6	2	0	4	1	2	8	5	4	4	2	3	2	6
OTU_1075	2	3	7	4	3	1	9	10	5	7	6	5	9	1	10	2	3	6
OTU_1076	12	11	4	4	6	10	16	23	21	12	10	22	16	9	16	4	4	14
OTU_1077	3	1	1	5	4	3	4	6	4	2	5	4	4	3	3	7	2	3
OTU_1078	6	4	4	1	2	3	4	14	3	4	3	9	5	3	6	2	8	3
OTU_108	54	27	57	48	84	50	26	40	54	95	85	70	31	47	40	51	54	50
OTU_1080	0	2	0	0	0	0	2	16	8	1	1	3	8	1	4	5	5	2
OTU_1081	5	6	4	14	7	6	11	4	2	4	5	6	3	6	10	5	2	4
OTU_1082	3	7	3	3	2	2	3	3	5	2	3	5	4	1	4	4	6	8
OTU_1083	10	2	8	11	9	2	6	1	3	5	4	11	5	1	6	4	3	2
OTU_1085	5	7	1	4	3	2	4	11	4	3	4	8	3	2	4	6	12	4
OTU_1086	10	8	1	3	0	5	4	5	2	10	5	6	1	4	3	1	3	7
OTU_1087	2	2	0	7	2	8	2	1	5	3	7	5	2	0	12	6	0	2
OTU_1088	18	16	9	10	1	16	17	16	9	10	22	18	13	16	9	10	7	17
OTU_1089	5	4	1	3	5	5	10	5	7	4	4	2	3	4	8	5	4	2
OTU_109	48	56	14	21	2	2	57	102	41	44	31	74	174	23	92	104	0	130
OTU_1090	2	1	1	2	0	2	3	1	34	0	1	3	5	1	4	4	0	1
OTU_1091	2	2	2	1	0	7	4	2	1	9	8	2	4	2	4	3	2	1
OTU_1092	3	6	3	5	8	5	6	2	2	2	5	1	3	2	5	6	6	7
OTU_1093	3	3	2	4	3	1	11	11	4	11	2	15	2	0	3	2	2	2
OTU_1094	7	2	12	12	7	1	6	3	0	6	2	2	0	2	1	4	2	4
OTU_1095	6	3	11	2	6	8	2	5	2	1	2	6	1	1	1	2	1	5
OTU_1096	3	1	11	2	1	3	3	6	4	3	8	1	1	2	5	5	0	15
OTU_1097	2	5	2	3	2	6	5	6	2	3	2	8	3	2	4	5	4	2
OTU_1098	4	6	4	3	31	3	0	0	1	2	2	0	0	3	0	2	4	4
OTU_1099	0	4	1	0	0	0	3	5	7	7	4	12	5	2	1	12	2	1
OTU_11	315	344	321	352	560	375	472	375	244	418	345	186	421	498	505	412	325	383
OTU_110	12	36	63	106	141	22	69	40	28	67	46	25	57	132	69	62	58	35
OTU_1100	0	6	0	0	3	4	2	1	0	0	4	2	8	1	1	3	15	5
OTU_1101	7	7	0	2	0	1	5	4	3	3	1	13	2	2	2	2	3	33
OTU_1102	14	4	0	5	3	9	13	5	3	4	6	9	3	5	5	16	1	8
OTU_1105	4	1	13	0	1	2	5	1	6	1	1	3	3	6	4	2	7	2
OTU_1106	3	6	5	3	4	5	4	3	4	3	6	6	0	2	4	3	9	2
OTU_1107	3	1	1	7	1	4	3	1	2	2	2	7	3	6	5	2	4	4
OTU_1108	2	0	1	1	4	6	4	2	4	6	4	3	5	2	3	2	10	4
OTU_111	40	54	37	17	37	28	56	40	41	65	51	59	37	84	74	71	63	80
OTU_1110	34	2	0	1	0	0	1	7	1	0	2	1	3	0	0	1	7	0
OTU_1111	5	4	16	4	4	5	6	0	3	4	5	5	3	1	4	5	6	9
OTU_1112	1	1	4	9	1	3	4	1	5	3	4	4	3	7	3	4	5	10
OTU_1113	3	3	0	0	1	4	7	27	7	18	0	9	4	3	0	2	1	1
OTU_1114	2	0	0	1	2	0	3	3	7	4	1	2	9	4	10	5	3	3
OTU_1115	2	2	4	0	7	2	8	2	1	2	3	2	9	1	4	5	1	9
OTU_1116	4	13	1	6	1	6	19	7	2	6	8	7	8	4	2	6	5	3
OTU_1117	1	0	4	5	1	1	2	2	2	3	6	4	3	2	3	1	5	4
OTU_1118	3	4	3	4	2	3	22	13	18	3	8	32	7	5	13	4	3	4
OTU_1119	4	0	35	1	0	0	2	5	0	0	0	7	0	3	0	0	0	0
OTU_112	28	16	14	16	10	11	73	43	104	102	62	33	68	98	71	86	42	36
OTU_1120	3	2	3	1	3	4	11	6	10	4	8	17	6	3	8	9	4	5
OTU_1121	3	2	0	2	18	11	2	3	0	1	1	12	4	0	1	8	0	2
OTU_1122	5	7	6	2	5	4	7	7	15	7	9	5	3	4	6	8	6	11
OTU_1123	1	1	1	8	1	2	5	11	6	3	4	6	4	2	5	2	2	2
OTU_1124	3	1	1	1	1	1	7	1	5	5	3	15	1	3	4	10	5	4
OTU_1125	0	3	0	3	0	3	11	7	3	2	3	7	1	5	3	4	1	4
OTU_1126	1	1	2	6	0	2	3	2	3	1	9	1	2	16	4	5	5	6
OTU_1127	1	4	0	1	0	5	6	8	34	1	1	10	0	2	6	1	0	0
OTU_1128	84	214	204	88	87	114	131	137	210	121	173	109	157	236	184	196	148	209
OTU_113	30	96	56	67	50	50	57	57	57	56	42	55	46	50	69	42	44	60
OTU_1130	5	3	4	0	1	6	7	7	1	3	7	5	3	1	7	3	4	3
OTU_1131	2	5	3	4	2	3	5	3	2	1	4	5	5	5	2	3	3	3
OTU_1132	4	3	1	2	3	5	7	7	3	8	7	9	1	1	10	5	5	4
OTU_1133	3	1	2	2	5	2	1	3	3	4	3	6	7	2	6	4	2	3
OTU_1134	3	1	4	1	6	7	8	6	3	4	7	5	7	4	4	4	5	1
OTU_1135	2	0	0	0	1	1	5	5	2	4	5	3	2	1	3	2	13	9
OTU_1136	2	1	0	3	0	0	8	6	11	2	8	7	7	0	4	1	1	6
OTU_1137	3	3	7	3	0	3	1	1	4	2	5	5	3	1	5	5	4	6
OTU_1138	1	2	0	2	4	6	3	15	2	2	7	1	1	0	5	1	0	1
OTU_1139	4	9	6	6	7	9	6	6	4	5	6	10	1	1	1	2	0	6
OTU_114	62	55	89	91	103	48	39	38	43	44	53	41	66	66	69	70	61	82
OTU_1140	6	4	1	2	1	1	7	5	1	2	3	6	0	5	3	2	5	9
OTU_1143	1	6	0	5	0	3	0	3	1	1	4	1	1	6	8	2	6	3
OTU_1144	1	5	4	4	3	2	6	6	1	6	3	5	4	2	0	4	5	6
OTU_1145	1	1	0	0	0	0	3	63	1	1	0	3	1	0	0	0	0	1
OTU_1146	1	5	1	3	1	0	7	6	3	5	2	3	3	3	5	6	4	4
OTU_1147	1	6	3	2	4	6	8	3	1	1	3	5	5	3	5	0	5	2
OTU_1148	1	0	0	2	2	1	0	1	2	5	1	50	0	1	3	0	1	3
OTU_1149	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
OTU_115	35	103	13	98	8	69	5	12	1	5	23	461	1	21	22	2	4	22
OTU_1150	1	0	0	1	0	0	10	2	0	0	24	6	1	4	2	12	0	0
OTU_1151	3	0	1	0	14	1	6	11	2	0	0	1	2	1	2	16	0	14
OTU_1152	3	10	0	3	1	1	4	3	4	4	6	0	4	1	9	2	0	4
OTU_1154	10	16	3	3	1	7	10	3	9	0	6	3	3	4	3	6	4	3
OTU_1155	5	7	1	5	0	10	13	6	1	1	7	6	10	1	2	1	2	5
OTU_1158	2	2	5	2	0	8	9	0	5	1	6	5	3	0	2	1	7	6
OTU_1159	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
OTU_1160	4	0	9	0	9	3	0	0	2	2	0	0	0	2	0	28	0	0
OTU_1161	1	1	7	0	0	19	0	0	0	4	4	4	1	5	2	3	0	1
OTU_1163	1	2	0	1	0	8	6	5	3	1	4	3	6	6	4	4	2	3
OTU_1164	0	1	3	2	7	1	2	3	2	4	7	4	2	5	6	6	0	3
OTU_1165	2	2	5	7	4	4	5	4	2	8	4	5	1	6	10	8	4	4
OTU_1166	3	4	3	4	3	2	3	6	6	8	5	14	4	2	0	4	3	3
OTU_1167	4	3	6	2	2	4	9	1	5	2	5	4	2	3	7	1	4	3
OTU_1169	1	4	0	0	0	1	7	10	3	4	2	2	3	1	6	1	2	0
OTU_1170	6	6	1	5	1	0	3	6	3	6	3	3	4	5	3	5	5	7
OTU_1171	5	2	2	1	2	2	3	8	3	6	4	4	3	4	4	5	2	3
OTU_1172	3	4	1	2	0	3	6	4	2	6	5	4	3	3	2	3	1	3
OTU_1173	4	1	2	2	0	3	4	7	5	4	3	3	2	7	1	5	3	4
OTU_1174	5	2	0	6	2	3	0	4	2	0	2	4	5	0	2	3	3	7
OTU_1175	2	2	2	5	2	2	6	4	5	4	4	6	4	5	5	3	4	6
OTU_1176	6	4	2	3	6	4	8	4	3	1	4	3	7	4	4	1	8	3
OTU_1177	3	1	1	3	0	2	3	2	1	2	0	3	7	10	4	13	2	3
