unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.176	0.164	0.111	0.194	0.0879	0.194	0.233	0.194	0.142	0.148	0.186	0.188	0.145	0.157	0.160	0.169	0.145
KO2	0.176	0	0.201	0.196	0.333	0.220	0.202	0.175	0.199	0.189	0.167	0.192	0.172	0.238	0.149	0.166	0.177	0.151
KO3	0.164	0.201	0	0.128	0.204	0.146	0.258	0.231	0.210	0.182	0.183	0.241	0.191	0.195	0.194	0.183	0.154	0.150
KO4	0.111	0.196	0.128	0	0.180	0.107	0.247	0.257	0.236	0.182	0.176	0.237	0.186	0.161	0.187	0.170	0.152	0.162
KO5	0.194	0.333	0.204	0.180	0	0.158	0.354	0.345	0.303	0.256	0.280	0.331	0.294	0.216	0.301	0.286	0.253	0.258
KO6	0.0879	0.220	0.146	0.107	0.158	0	0.240	0.279	0.243	0.188	0.188	0.230	0.230	0.176	0.213	0.201	0.190	0.192
OE1	0.194	0.202	0.258	0.247	0.354	0.240	0	0.169	0.201	0.174	0.139	0.0813	0.214	0.242	0.140	0.194	0.215	0.174
OE2	0.233	0.175	0.231	0.257	0.345	0.279	0.169	0	0.154	0.156	0.146	0.146	0.163	0.219	0.145	0.186	0.168	0.149
OE3	0.194	0.199	0.210	0.236	0.303	0.243	0.201	0.154	0	0.120	0.156	0.191	0.131	0.151	0.132	0.130	0.157	0.134
OE4	0.142	0.189	0.182	0.182	0.256	0.188	0.174	0.156	0.120	0	0.140	0.161	0.136	0.150	0.123	0.137	0.135	0.104
OE5	0.148	0.167	0.183	0.176	0.280	0.188	0.139	0.146	0.156	0.140	0	0.102	0.140	0.171	0.093	0.117	0.112	0.0992
OE6	0.186	0.192	0.241	0.237	0.331	0.230	0.0813	0.146	0.191	0.161	0.102	0	0.200	0.224	0.135	0.173	0.180	0.153
WT1	0.188	0.172	0.191	0.186	0.294	0.230	0.214	0.163	0.131	0.136	0.140	0.200	0	0.120	0.113	0.111	0.0908	0.119
WT2	0.145	0.238	0.195	0.161	0.216	0.176	0.242	0.219	0.151	0.150	0.171	0.224	0.120	0	0.164	0.134	0.119	0.157
WT3	0.157	0.149	0.194	0.187	0.301	0.213	0.140	0.145	0.132	0.123	0.093	0.135	0.113	0.164	0	0.0956	0.123	0.0746
WT4	0.160	0.166	0.183	0.170	0.286	0.201	0.194	0.186	0.130	0.137	0.117	0.173	0.111	0.134	0.0956	0	0.117	0.101
WT5	0.169	0.177	0.154	0.152	0.253	0.190	0.215	0.168	0.157	0.135	0.112	0.180	0.0908	0.119	0.123	0.117	0	0.106
WT6	0.145	0.151	0.150	0.162	0.258	0.192	0.174	0.149	0.134	0.104	0.0992	0.153	0.119	0.157	0.0746	0.101	0.106	0
