Flavobacteriaceae,Gemmatimonadaceae,Xanthomonadaceae,Sphingomonadaceae,unidentified_Acidobacteria,Burkholderiaceae,Chitinophagaceae,Nitrosomonadaceae,Pyrinomonadaceae,Microscillaceae
3056,3340,1909,1775,2283,2404,847,803,855,2148
3103,3140,2452,2440,3531,944,1207,962,1192,2358
1423,3485,3751,2701,3714,1638,1362,914,1076,1968
7072,1877,2217,1490,1968,1429,408,850,476,2319
277,6752,650,1368,4008,802,952,2475,1501,1332
2424,2468,1977,2159,2570,1030,590,927,460,1889
2874,2221,1454,2415,2037,902,577,682,905,2368
683,3363,3875,2307,3152,2984,997,1024,1146,1226
10620,1335,4894,2822,938,1099,855,439,282,795
125,5781,2233,2403,2771,1615,1435,1822,1753,1038
150,4802,1214,2447,4190,1346,857,1543,2424,983
789,4522,2713,2073,2467,2308,1943,1637,1659,1337
1045,2638,2828,2825,1847,3418,802,1243,645,1403
100,4323,5273,3094,2915,1301,2060,938,1219,1480
587,6679,1725,2380,3195,1893,894,1683,2173,977
233,3288,2869,2604,2619,1851,958,1534,1137,1031
517,2148,6689,4226,1717,4050,3531,889,326,1097
216,2532,6534,2173,2496,3796,2647,1191,1277,854
355,4206,3363,3347,2421,1641,1067,1714,657,871
347,3232,5286,2276,2965,1204,1736,1703,818,1268
