bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.279	0.314	0.266	0.325	0.246	0.322	0.356	0.316	0.283	0.284	0.305	0.307	0.316	0.299	0.306	0.325	0.280
KO2	0.279	0	0.355	0.335	0.428	0.306	0.326	0.330	0.327	0.324	0.294	0.322	0.294	0.336	0.288	0.289	0.340	0.292
KO3	0.314	0.355	0	0.312	0.325	0.311	0.421	0.398	0.358	0.353	0.353	0.402	0.375	0.361	0.367	0.348	0.355	0.323
KO4	0.266	0.335	0.312	0	0.320	0.256	0.391	0.399	0.346	0.331	0.327	0.381	0.333	0.332	0.343	0.340	0.334	0.319
KO5	0.325	0.428	0.325	0.320	0	0.316	0.472	0.444	0.423	0.388	0.391	0.464	0.393	0.362	0.405	0.401	0.364	0.372
KO6	0.246	0.306	0.311	0.256	0.316	0	0.380	0.399	0.346	0.321	0.317	0.353	0.343	0.342	0.338	0.329	0.329	0.326
OE1	0.322	0.326	0.421	0.391	0.472	0.380	0	0.284	0.307	0.296	0.259	0.220	0.314	0.346	0.251	0.311	0.345	0.280
OE2	0.356	0.330	0.398	0.399	0.444	0.399	0.284	0	0.296	0.294	0.265	0.298	0.294	0.358	0.274	0.321	0.338	0.264
OE3	0.316	0.327	0.358	0.346	0.423	0.346	0.307	0.296	0	0.241	0.275	0.300	0.269	0.302	0.274	0.284	0.299	0.263
OE4	0.283	0.324	0.353	0.331	0.388	0.321	0.296	0.294	0.241	0	0.257	0.287	0.266	0.288	0.255	0.266	0.289	0.247
OE5	0.284	0.294	0.353	0.327	0.391	0.317	0.259	0.265	0.275	0.257	0	0.252	0.262	0.290	0.225	0.252	0.256	0.229
OE6	0.305	0.322	0.402	0.381	0.464	0.353	0.220	0.298	0.300	0.287	0.252	0	0.314	0.351	0.271	0.308	0.333	0.289
WT1	0.307	0.294	0.375	0.333	0.393	0.343	0.314	0.294	0.269	0.266	0.262	0.314	0	0.227	0.246	0.271	0.258	0.245
WT2	0.316	0.336	0.361	0.332	0.362	0.342	0.346	0.358	0.302	0.288	0.290	0.351	0.227	0	0.271	0.260	0.267	0.282
WT3	0.299	0.288	0.367	0.343	0.405	0.338	0.251	0.274	0.274	0.255	0.225	0.271	0.246	0.271	0	0.242	0.285	0.219
WT4	0.306	0.289	0.348	0.340	0.401	0.329	0.311	0.321	0.284	0.266	0.252	0.308	0.271	0.260	0.242	0	0.301	0.256
WT5	0.325	0.340	0.355	0.334	0.364	0.329	0.345	0.338	0.299	0.289	0.256	0.333	0.258	0.267	0.285	0.301	0	0.264
WT6	0.280	0.292	0.323	0.319	0.372	0.326	0.280	0.264	0.263	0.247	0.229	0.289	0.245	0.282	0.219	0.256	0.264	0
