"","ID","i","index","Group"
"1","KO1",100,51.5463917525773,"KO"
"2","KO2",100,43.4782608695652,"KO"
"3","KO3",100,58.8235294117647,"KO"
"4","KO4",100,43.4782608695652,"KO"
"5","KO5",100,37.3134328358209,"KO"
"6","KO6",100,53.1914893617021,"KO"
"7","OE1",100,42.7350427350427,"OE"
"8","OE2",100,69.4444444444444,"OE"
"9","OE3",100,34.4827586206897,"OE"
"10","OE4",100,58.1395348837209,"OE"
"11","OE5",100,63.2911392405063,"OE"
"12","OE6",100,64.9350649350649,"OE"
"13","WT1",100,40.983606557377,"WT"
"14","WT2",100,36.4963503649635,"WT"
"15","WT3",100,55.5555555555556,"WT"
"16","WT4",100,64.1025641025641,"WT"
"17","WT5",100,42.7350427350427,"WT"
"18","WT6",100,60.9756097560976,"WT"
"19","KO1",200,62.111801242236,"KO"
"20","KO2",200,67.5675675675676,"KO"
"21","KO3",200,56.1797752808989,"KO"
"22","KO4",200,53.9083557951482,"KO"
"23","KO5",200,58.3090379008746,"KO"
"24","KO6",200,81.9672131147541,"KO"
"25","OE1",200,101.010101010101,"OE"
"26","OE2",200,81.3008130081301,"OE"
"27","OE3",200,51.150895140665,"OE"
"28","OE4",200,88.4955752212389,"OE"
"29","OE5",200,80.9716599190283,"OE"
"30","OE6",200,86.2068965517241,"OE"
"31","WT1",200,58.6510263929619,"WT"
"32","WT2",200,66.8896321070234,"WT"
"33","WT3",200,92.1658986175115,"WT"
"34","WT4",200,64.1025641025641,"WT"
"35","WT5",200,63.0914826498423,"WT"
"36","WT6",200,87.719298245614,"WT"
"37","KO1",300,73.2899022801303,"KO"
"38","KO2",300,67.97583081571,"KO"
"39","KO3",300,64.5624103299856,"KO"
"40","KO4",300,69.9844479004666,"KO"
"41","KO5",300,59.1327201051248,"KO"
"42","KO6",300,76.7918088737201,"KO"
"43","OE1",300,143.312101910828,"OE"
"44","OE2",300,77.319587628866,"OE"
"45","OE3",300,65.5021834061135,"OE"
"46","OE4",300,83.955223880597,"OE"
"47","OE5",300,110.294117647059,"OE"
"48","OE6",300,128.205128205128,"OE"
"49","WT1",300,61.4754098360656,"WT"
"50","WT2",300,62.9370629370629,"WT"
"51","WT3",300,79.9289520426288,"WT"
"52","WT4",300,85.3889943074004,"WT"
"53","WT5",300,67.1641791044776,"WT"
"54","WT6",300,75.3768844221105,"WT"
"55","KO1",400,80.4020100502513,"KO"
"56","KO2",400,82.6446280991736,"KO"
"57","KO3",400,77.5193798449612,"KO"
"58","KO4",400,92.2722029988466,"KO"
"59","KO5",400,54.2372881355932,"KO"
"60","KO6",400,77.5945683802134,"KO"
"61","OE1",400,109.439124487004,"OE"
"62","OE2",400,71.4285714285714,"OE"
"63","OE3",400,77.5193798449612,"OE"
"64","OE4",400,90.6002265005663,"OE"
"65","OE5",400,96.8523002421307,"OE"
"66","OE6",400,121.028744326778,"OE"
"67","WT1",400,60.4686318972033,"WT"
"68","WT2",400,73.1261425959781,"WT"
"69","WT3",400,121.951219512195,"WT"
"70","WT4",400,80.1603206412826,"WT"
"71","WT5",400,65.3061224489796,"WT"
"72","WT6",400,93.4579439252336,"WT"
"73","KO1",500,71.0227272727273,"KO"
"74","KO2",500,113.636363636364,"KO"
"75","KO3",500,67.3854447439353,"KO"
"76","KO4",500,82.3451910408432,"KO"
"77","KO5",500,64.8340248962656,"KO"
"78","KO6",500,103.476821192053,"KO"
"79","OE1",500,111.408199643494,"OE"
"80","OE2",500,79.1139240506329,"OE"
"81","OE3",500,96.3020030816641,"OE"
"82","OE4",500,89.863407620417,"OE"
"83","OE5",500,110.229276895944,"OE"
"84","OE6",500,157.232704402516,"OE"
"85","WT1",500,69.9496362618914,"WT"
"86","WT2",500,58.6029067041725,"WT"
"87","WT3",500,109.841827768014,"WT"
"88","WT4",500,89.0947968638632,"WT"
"89","WT5",500,82.2368421052632,"WT"
"90","WT6",500,99.2063492063492,"WT"
"91","KO1",600,99.8336106489185,"KO"
"92","KO2",600,87.890625,"KO"
"93","KO3",600,68.649885583524,"KO"
"94","KO4",600,70.9499408750493,"KO"
"95","KO5",600,67.7200902934537,"KO"
"96","KO6",600,125.786163522013,"KO"
"97","OE1",600,155.709342560554,"OE"
"98","OE2",600,97.0873786407767,"OE"
"99","OE3",600,81.5956482320943,"OE"
"100","OE4",600,97.2972972972973,"OE"
"101","OE5",600,118.733509234828,"OE"
"102","OE6",600,160,"OE"
"103","WT1",600,77.8210116731517,"WT"
"104","WT2",600,72.8155339805825,"WT"
"105","WT3",600,103.270223752151,"WT"
"106","WT4",600,93.4094447327452,"WT"
"107","WT5",600,79.9289520426288,"WT"
"108","WT6",600,93.0232558139535,"WT"
"109","KO1",700,83.5892186966906,"KO"
"110","KO2",700,97.1836572788576,"KO"
"111","KO3",700,69.4444444444444,"KO"
"112","KO4",700,86.1765740415055,"KO"
"113","KO5",700,54.3719485130937,"KO"
"114","KO6",700,102.854743912678,"KO"
"115","OE1",700,163.007318695941,"OE"
"116","OE2",700,102.553369610716,"OE"
"117","OE3",700,72.2074860005894,"OE"
"118","OE4",700,105.785837651123,"OE"
"119","OE5",700,118.874332848132,"OE"
"120","OE6",700,179.48717948718,"OE"
"121","WT1",700,68.6274509803922,"WT"
"122","WT2",700,70.9527946713003,"WT"
"123","WT3",700,101.156069364162,"WT"
"124","WT4",700,101.365328920149,"WT"
"125","WT5",700,70,"WT"
"126","WT6",700,104.522184300341,"WT"
"127","KO1",800,83.7257980115123,"KO"
"128","KO2",800,104.302477183833,"KO"
"129","KO3",800,74.1770978210478,"KO"
"130","KO4",800,95.2664483477225,"KO"
"131","KO5",800,61.0920198549064,"KO"
"132","KO6",800,118.606375092661,"KO"
"133","OE1",800,164.948453608247,"OE"
"134","OE2",800,109.514031485284,"OE"
"135","OE3",800,92.7805160916208,"OE"
"136","OE4",800,114.44921316166,"OE"
"137","OE5",800,117.733627667403,"OE"
"138","OE6",800,172.506738544474,"OE"
"139","WT1",800,69.0250215703192,"WT"
"140","WT2",800,56.7476502926051,"WT"
"141","WT3",800,109.701748371615,"WT"
"142","WT4",800,98.9486703772418,"WT"
"143","WT5",800,88.1299917378133,"WT"
"144","WT6",800,115.149334292911,"WT"
"145","KO1",900,77.5267993874426,"KO"
"146","KO2",900,93.8586326767091,"KO"
"147","KO3",900,83.1792975970425,"KO"
"148","KO4",900,72.6196880043034,"KO"
"149","KO5",900,60.2947744528808,"KO"
"150","KO6",900,104.895104895105,"KO"
"151","OE1",900,154.109589041096,"OE"
"152","OE2",900,110.444505044996,"OE"
"153","OE3",900,80.4529201430274,"OE"
"154","OE4",900,124.462200368777,"OE"
"155","OE5",900,119.574844995571,"OE"
"156","OE6",900,180.722891566265,"OE"
"157","WT1",900,92.5502742230347,"WT"
"158","WT2",900,62.9077353215284,"WT"
"159","WT3",900,121.04004781829,"WT"
"160","WT4",900,103.554078240859,"WT"
"161","WT5",900,67.7710843373494,"WT"
"162","WT6",900,93.1034482758621,"WT"
"163","KO1",1000,97.6371802382347,"KO"
"164","KO2",1000,101.091791346543,"KO"
"165","KO3",1000,74.471254095919,"KO"
"166","KO4",1000,81.3404912965674,"KO"
"167","KO5",1000,57.9710144927536,"KO"
"168","KO6",1000,109.481059776659,"KO"
"169","OE1",1000,163.826998689384,"OE"
"170","OE2",1000,107.227107012653,"OE"
"171","OE3",1000,92.3872875092387,"OE"
"172","OE4",1000,110.01100110011,"OE"
"173","OE5",1000,110.326566637246,"OE"
"174","OE6",1000,180.245133381399,"OE"
"175","WT1",1000,76.4409111756612,"WT"
"176","WT2",1000,74.5267551050827,"WT"
"177","WT3",1000,142.612664004564,"WT"
"178","WT4",1000,111.831804965332,"WT"
"179","WT5",1000,83.5142809420411,"WT"
"180","WT6",1000,113.224637681159,"WT"
"181","KO1",1100,93.9295140506133,"KO"
"182","KO2",1100,107.498223169865,"KO"
"183","KO3",1100,91.3207547169811,"KO"
"184","KO4",1100,89.6429100607497,"KO"
"185","KO5",1100,57.2645527685755,"KO"
"186","KO6",1100,105.071205279611,"KO"
"187","OE1",1100,160.861473012497,"OE"
"188","OE2",1100,131.808278867102,"OE"
"189","OE3",1100,86.3052781740371,"OE"
"190","OE4",1100,107.536437966584,"OE"
"191","OE5",1100,123.975409836066,"OE"
"192","OE6",1100,161.419423692636,"OE"
"193","WT1",1100,81.2953507121742,"WT"
"194","WT2",1100,54.6423410404624,"WT"
"195","WT3",1100,124.767993400701,"WT"
"196","WT4",1100,106.121733029293,"WT"
"197","WT5",1100,88.3598656345845,"WT"
"198","WT6",1100,106.252195293291,"WT"
"199","KO1",1200,90.8059023836549,"KO"
"200","KO2",1200,118.421052631579,"KO"
"201","KO3",1200,69.4109707895498,"KO"
"202","KO4",1200,83.8965276159403,"KO"
"203","KO5",1200,69.1244239631336,"KO"
"204","KO6",1200,93.167701863354,"KO"
"205","OE1",1200,170.616113744076,"OE"
"206","OE2",1200,87.7727660611971,"OE"
"207","OE3",1200,79.9289520426288,"OE"
"208","OE4",1200,107.334525939177,"OE"
"209","OE5",1200,120.562625586068,"OE"
"210","OE6",1200,136.518771331058,"OE"
"211","WT1",1200,88.4738264929958,"WT"
"212","WT2",1200,65.4129190515127,"WT"
"213","WT3",1200,126.515550869794,"WT"
"214","WT4",1200,108.548168249661,"WT"
"215","WT5",1200,83.955223880597,"WT"
"216","WT6",1200,99.8336106489185,"WT"
"217","KO1",1300,97.4850023073373,"KO"
"218","KO2",1300,113.529490796722,"KO"
