Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0589	0.0127	2101.9	0.988	0.778	155.8	383.4	30199.0	2101.0	0.222	0.0118	5.95	8.58	2.58
KO2	0.0553	0.0134	2127.2	0.990	0.784	180.0	405.9	30201.0	2126.0	0.224	0.00967	6.01	8.66	2.61
KO3	0.0614	0.00957	1816.4	0.988	0.755	134.0	288.2	30127.0	1816.0	0.233	0.0121	5.66	8.17	2.46
KO4	0.0595	0.00947	1876.4	0.987	0.750	129.8	285.0	30085.0	1876.0	0.245	0.0125	5.65	8.15	2.45
KO5	0.0746	0.00712	1697.5	0.982	0.722	93.5	214.7	30161.0	1697.0	0.265	0.0176	5.37	7.75	2.33
KO6	0.0525	0.0114	1982.4	0.989	0.768	157.0	341.6	30022.0	1982.0	0.230	0.0106	5.83	8.42	2.53
WT1	0.061	0.0104	2155.3	0.987	0.749	131.0	312.9	30185.0	2155.0	0.219	0.0127	5.75	8.29	2.50
WT2	0.0649	0.00842	1956.3	0.985	0.731	107.3	254.3	30203.0	1956.0	0.221	0.0152	5.54	7.99	2.41
WT3	0.047	0.0147	2263.2	0.991	0.788	197.4	440.7	30027.0	2263.0	0.192	0.00858	6.09	8.78	2.64
WT4	0.0542	0.0126	2144.3	0.990	0.774	169.5	378.7	30071.0	2144.0	0.216	0.00996	5.94	8.56	2.58
WT5	0.0409	0.00924	2014.4	0.987	0.740	124.5	278.6	30136.0	2014.0	0.235	0.0126	5.63	8.12	2.44
WT6	0.0429	0.0136	2198.3	0.991	0.781	187.9	408.9	30036.0	2198.0	0.200	0.00869	6.01	8.68	2.61
OE1	0.0389	0.0186	2299.7	0.993	0.818	256.9	560.9	30140.0	2299.0	0.163	0.00683	6.33	9.13	2.75
OE2	0.0488	0.0159	2276.7	0.992	0.799	212.4	480.8	30173.0	2276.0	0.182	0.00821	6.18	8.91	2.68
OE3	0.0454	0.0124	2175.8	0.990	0.771	160.0	373.2	30131.0	2175.0	0.203	0.0104	5.92	8.54	2.57
OE4	0.0387	0.014	2175.9	0.992	0.787	197.4	423.6	30200.0	2175.0	0.226	0.00823	6.05	8.73	2.63
OE5	0.0365	0.0148	2222.7	0.992	0.792	209.0	446.5	30250.0	2222.0	0.201	0.00778	6.10	8.80	2.65
OE6	0.0442	0.0181	2303.7	0.993	0.815	249.7	548.2	30209.0	2303.0	0.167	0.00701	6.31	9.10	2.74
