unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.182	0.153	0.108	0.191	0.0876	0.194	0.236	0.188	0.146	0.145	0.183	0.188	0.137	0.157	0.155	0.162	0.144
KO2	0.182	0	0.207	0.196	0.331	0.221	0.198	0.178	0.216	0.202	0.166	0.190	0.166	0.218	0.152	0.164	0.176	0.150
KO3	0.153	0.207	0	0.126	0.195	0.148	0.255	0.223	0.184	0.173	0.185	0.236	0.183	0.184	0.187	0.180	0.146	0.138
KO4	0.108	0.196	0.126	0	0.179	0.104	0.236	0.244	0.217	0.185	0.172	0.234	0.181	0.154	0.174	0.166	0.150	0.151
KO5	0.191	0.331	0.195	0.179	0	0.157	0.349	0.341	0.297	0.254	0.278	0.327	0.292	0.215	0.296	0.284	0.253	0.254
KO6	0.0876	0.221	0.148	0.104	0.157	0	0.239	0.278	0.236	0.191	0.189	0.229	0.230	0.169	0.210	0.201	0.191	0.190
OE1	0.194	0.198	0.255	0.236	0.349	0.239	0	0.167	0.190	0.170	0.130	0.0785	0.210	0.224	0.140	0.184	0.200	0.168
OE2	0.236	0.178	0.223	0.244	0.341	0.278	0.167	0	0.162	0.165	0.146	0.147	0.151	0.200	0.144	0.173	0.163	0.152
OE3	0.188	0.216	0.184	0.217	0.297	0.236	0.190	0.162	0	0.114	0.141	0.180	0.141	0.165	0.128	0.128	0.150	0.129
OE4	0.146	0.202	0.173	0.185	0.254	0.191	0.170	0.165	0.114	0	0.146	0.160	0.142	0.152	0.129	0.134	0.138	0.113
OE5	0.145	0.166	0.185	0.172	0.278	0.189	0.130	0.146	0.141	0.146	0	0.102	0.138	0.162	0.0922	0.112	0.112	0.0995
OE6	0.183	0.190	0.236	0.234	0.327	0.229	0.0785	0.147	0.180	0.160	0.102	0	0.197	0.211	0.136	0.169	0.172	0.154
WT1	0.188	0.166	0.183	0.181	0.292	0.230	0.210	0.151	0.141	0.142	0.138	0.197	0	0.121	0.106	0.117	0.0897	0.112
WT2	0.137	0.218	0.184	0.154	0.215	0.169	0.224	0.200	0.165	0.152	0.162	0.211	0.121	0	0.144	0.132	0.120	0.145
WT3	0.157	0.152	0.187	0.174	0.296	0.210	0.140	0.144	0.128	0.129	0.0922	0.136	0.106	0.144	0	0.0922	0.115	0.0794
WT4	0.155	0.164	0.180	0.166	0.284	0.201	0.184	0.173	0.128	0.134	0.112	0.169	0.117	0.132	0.0922	0	0.109	0.101
WT5	0.162	0.176	0.146	0.150	0.253	0.191	0.200	0.163	0.150	0.138	0.112	0.172	0.0897	0.120	0.115	0.109	0	0.095
WT6	0.144	0.150	0.138	0.151	0.254	0.190	0.168	0.152	0.129	0.113	0.0995	0.154	0.112	0.145	0.0794	0.101	0.095	0
