Full Journal Title	Journal Impact Factor
Energy & Environmental Science	30.289
Nature Climate Change	20.893
Nature Sustainability	12.080
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	10.466
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	9.295
WATER RESEARCH	9.13
REMOTE SENSING OF ENVIRONMENT	9.085
JOURNAL OF HAZARDOUS MATERIALS	9.038
GLOBAL CHANGE BIOLOGY	8.555
Environmental Innovation and Societal Transitions	8.400
ENVIRONMENTAL HEALTH PERSPECTIVES	8.382
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	8.302
RESOURCES CONSERVATION AND RECYCLING	8.086
Annual Review of Environment and Resources	8.065
ENVIRONMENTAL SCIENCE & TECHNOLOGY	7.864
Environmental Science-Nano	7.683
Environmental Science & Technology Letters	7.678
ENVIRONMENT INTERNATIONAL	7.577
JOURNAL OF CLEANER PRODUCTION	7.246
Trends in Environmental Analytical Chemistry	7.059
ENVIRONMENTAL POLLUTION	6.792
SCIENCE OF THE TOTAL ENVIRONMENT	6.551
JOURNAL OF INDUSTRIAL ECOLOGY	6.539
Ecosystem Services	6.330
Earths Future	6.141
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS	6.105
Environmental Research Letters	6.096
Environmental Chemistry Letters	5.922
CHEMOSPHERE	5.778
Reviews of Environmental Contamination and Toxicology	5.767
ENVIRONMENTAL RESEARCH	5.715
Current Opinion in Environmental Sustainability	5.658
JOURNAL OF ENVIRONMENTAL MANAGEMENT	5.647
NanoImpact	5.478
WASTE MANAGEMENT	5.448
ATMOSPHERIC CHEMISTRY AND PHYSICS	5.414
CONSERVATION BIOLOGY	5.405
Environmental Sciences Europe	5.394
Sustainability Science	5.301
ENERGY POLICY	5.042
APPLIED CATALYSIS A-GENERAL	5.006
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY	4.957
Climate Risk Management	4.904
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	4.872
npj Clean Water	4.870
ENVIRONMENTAL MODELLING & SOFTWARE	4.807
AMBIO	4.778
ENVIRONMENTAL SCIENCE & POLICY	4.767
BIOLOGICAL CONSERVATION	4.711
Environmental Health	4.690
GLOBAL BIOGEOCHEMICAL CYCLES	4.608
Journal of Environmental Informatics	4.604
ECOLOGICAL ECONOMICS	4.482
Wiley Interdisciplinary Reviews-Water	4.451
Geobiology	4.385
WATER RESOURCES RESEARCH	4.309
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT	4.307
Journal of Environmental Sciences	4.302
ECOLOGICAL APPLICATIONS	4.248
AGRICULTURE ECOSYSTEMS & ENVIRONMENT	4.241
ECOLOGICAL INDICATORS	4.229
Elementa-Science of the Anthropocene	4.212
ENVIRONMENTAL REVIEWS	4.176
BIOGEOCHEMISTRY	4.161
CLIMATIC CHANGE	4.134
INTERNATIONAL BIODETERIORATION & BIODEGRADATION	4.074
Carbon Balance and Management	4.067
Frontiers of Environmental Science & Engineering	4.053
MARINE POLLUTION BULLETIN	4.049
ATMOSPHERIC ENVIRONMENT	4.039
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	4.027
Advances in Climate Change Research	3.967
Urban Climate	3.834
Geocarto International	3.789
LAND DEGRADATION & DEVELOPMENT	3.775
International Soil and Water Conservation Research	3.770
Environmental Evidence	3.708
GeoHealth	3.660
Journal of Exposure Science and Environmental Epidemiology	3.531
Atmospheric Pollution Research	3.527
ECOLOGICAL ENGINEERING	3.512
Regional Environmental Change	3.481
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	3.472
Environmental Science-Water Research & Technology	3.449
Integrated Environmental Assessment and Management	3.440
Journal of Geophysical Research-Biogeosciences	3.406
Anthropocene	3.390
Environmental Technology & Innovation	3.356
Sustainable Chemistry and Pharmacy	3.294
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY	3.292
Current Pollution Reports	3.286
Toxics	3.271
Environmental Science-Processes & Impacts	3.238
Mitigation and Adaptation Strategies for Global Change	3.230
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	3.152
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	3.131
ENVIRONMENTAL TOXICOLOGY	3.118
Journal of Flood Risk Management	3.066
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	3.056
Environmental Microbiology Reports	2.975
Anthropocene Review	2.971
BIODIVERSITY AND CONSERVATION	2.935
Air Quality Atmosphere and Health	2.870
Waste and Biomass Valorization	2.851
International Journal of Environmental Research and Public Health	2.849
Food and Environmental Virology	2.819
WASTE MANAGEMENT & RESEARCH	2.771
Ecohydrology	2.767
JOURNAL OF SOILS AND SEDIMENTS	2.763
Frontiers in Environmental Science	2.749
Journal of Environmental Engineering and Landscape Management	2.733
MARINE ENVIRONMENTAL RESEARCH	2.727
AEROBIOLOGIA	2.708
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	2.680
Journal of Integrative Environmental Sciences	2.667
BIOMEDICAL AND ENVIRONMENTAL SCIENCES	2.656
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES	2.653
JOURNAL OF AEROSOL SCIENCE	2.649
International Journal of Sediment Research	2.577
Sustainability	2.576
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS	2.572
Conservation Physiology	2.570
ENVIRONMENTAL MANAGEMENT	2.561
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS	2.552
International Journal of Environmental Science and Technology	2.540
ECOTOXICOLOGY	2.535
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION	2.528
VADOSE ZONE JOURNAL	2.504
ENVIRONMENTAL CONSERVATION	2.434
Clean Technologies and Environmental Policy	2.429
REVIEWS ON ENVIRONMENTAL HEALTH	2.429
AQUATIC SCIENCES	2.402
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	2.400
Environmental Development	2.400
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	2.351
JOURNAL OF CONTAMINANT HYDROLOGY	2.347
AEROSOL SCIENCE AND TECHNOLOGY	2.340
Estuaries and Coasts	2.319
Ecosystem Health and Sustainability	2.315
HUMAN AND ECOLOGICAL RISK ASSESSMENT	2.300
ENVIRONMENT	2.281
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION	2.245
ENVIRONMENTAL TECHNOLOGY	2.213
BioEnergy Research	2.195
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY	2.191
Microbial Risk Analysis	2.182
Environmental Earth Sciences	2.180
Journal of Environmental Health Science and Engineering	2.179
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	2.161
Journal of Soil Science and Plant Nutrition	2.156
EcoHealth	2.153
JOURNAL OF ENVIRONMENTAL QUALITY	2.142
Journal of Hydro-environment Research	2.099
Rangeland Ecology & Management	2.095
OZONE-SCIENCE & ENGINEERING	2.082
CHEMICAL SPECIATION AND BIOAVAILABILITY	2.077
SAR AND QSAR IN ENVIRONMENTAL RESEARCH	2.053
CLIMATE RESEARCH	2.023
International Journal of Environmental Research	2.007
Environmental Progress & Sustainable Energy	1.989
Greenhouse Gases-Science and Technology	1.979
Journal of Material Cycles and Waste Management	1.974
GEOMICROBIOLOGY JOURNAL	1.972
JOURNAL OF GREAT LAKES RESEARCH	1.933
International Journal of Mining Reclamation and Environment	1.917
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH	1.916
RIVER RESEARCH AND APPLICATIONS	1.916
Environmental Chemistry	1.910
ENVIRONMENTAL MONITORING AND ASSESSMENT	1.903
WATER AIR AND SOIL POLLUTION	1.900
Journal of Arid Land	1.899
Water Resources and Economics	1.875
GAIA-Ecological Perspectives for Science and Society	1.870
Local Environment	1.856
Chinese Geographical Science	1.854
Utilities Policy	1.835
JOURNAL OF ARID ENVIRONMENTS	1.830
JOURNAL OF HEALTH POPULATION AND NUTRITION	1.821
ARCTIC ANTARCTIC AND ALPINE RESEARCH	1.784
WETLANDS	1.783
Archives of Environmental Protection	1.775
JOURNAL OF HYDROINFORMATICS	1.728
BIOREMEDIATION JOURNAL	1.724
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	1.724
HUMAN DIMENSIONS OF WILDLIFE	1.723
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	1.697
Carbon Management	1.667
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	1.657
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE	1.653
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES	1.652
Ecological Processes	1.642
Arctic Science	1.640
JOURNAL OF PALEOLIMNOLOGY	1.639
WATER SCIENCE AND TECHNOLOGY	1.638
ENVIRONMENTAL MODELING & ASSESSMENT	1.634
ENVIRONMENTAL ENGINEERING SCIENCE	1.610
CLEAN-Soil Air Water	1.603
JOURNAL OF HYDROLOGIC ENGINEERING	1.594
WEB ECOLOGY	1.560
Journal of Mountain Science	1.550
COASTAL MANAGEMENT	1.547
ARCTIC	1.540
JOURNAL OF ATMOSPHERIC CHEMISTRY	1.521
ENVIRONMENTAL FLUID MECHANICS	1.512
MOUNTAIN RESEARCH AND DEVELOPMENT	1.494
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S	1.488
INDUSTRIAL HEALTH	1.471
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS	1.464
Environmental Engineering Research	1.438
NATURAL RESOURCES FORUM	1.436
PHYSICAL GEOGRAPHY	1.435
SOIL SCIENCE AND PLANT NUTRITION	1.432
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	1.431
WATER AND ENVIRONMENT JOURNAL	1.426
ANTARCTIC SCIENCE	1.417
CHEMISTRY AND ECOLOGY	1.400
POLISH JOURNAL OF ENVIRONMENTAL STUDIES	1.383
JOURNAL OF COASTAL CONSERVATION	1.374
Journal of Applied Remote Sensing	1.360
JOURNAL OF WATER AND HEALTH	1.349
Mires and Peat	1.328
RADIATION AND ENVIRONMENTAL BIOPHYSICS	1.321
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT	1.319
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	1.310
Carpathian Journal of Earth and Environmental Sciences	1.307
JOURNAL OF ENVIRONMENTAL ENGINEERING	1.264
JOURNAL OF RADIOLOGICAL PROTECTION	1.261
SOIL & SEDIMENT CONTAMINATION	1.250
WETLANDS ECOLOGY AND MANAGEMENT	1.221
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia	1.182
Archives of Environmental & Occupational Health	1.180
WATER ENVIRONMENT RESEARCH	1.151
ARID LAND RESEARCH AND MANAGEMENT	1.148
BOREAL ENVIRONMENT RESEARCH	1.100
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY	1.050
ENVIRONMETRICS	1.039
Journal of the Indian Society of Remote Sensing	0.997
Global NEST Journal	0.983
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE	0.982
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	0.981
NATURAL RESOURCE MODELING	0.915
Water Science and Technology-Water Supply	0.900
HEALTH PHYSICS	0.853
POLAR RECORD	0.840
Rocznik Ochrona Srodowiska	0.804
JOURNAL OF COASTAL RESEARCH	0.793
JOURNAL OF ENVIRONMENTAL HEALTH	0.784
International Journal of Global Warming	0.782
JOURNAL OF ENVIRONMENTAL BIOLOGY	0.781
RADIATION PROTECTION DOSIMETRY	0.773
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT	0.761
ENVIRONMENTAL FORENSICS	0.726
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	0.712
Journal of Elementology	0.710
Journal of Environmental Protection and Ecology	0.692
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY	0.654
Grundwasser	0.595
FRESENIUS ENVIRONMENTAL BULLETIN	0.553
RADIOPROTECTION	0.541
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION	0.540
Revista Internacional de Contaminacion Ambiental	0.521
Journal of Environmental Science and Management	0.420
Annali di Botanica	0.412
GEFAHRSTOFFE REINHALTUNG DER LUFT	0.368
Environmental Pollutants and Bioavailability	Not Available
